Fecha,grado,toma combi,N de combis,dinero invertido,distancia,tiempo,Sexo
2021/05/12 7:35:13 p. m. GMT-5,2,Sí,3 a 4,500,16,1 hora,Hombre
2021/05/12 7:58:11 p. m. GMT-5,6,Sí,más de 6,150,17,2 horas o más,Hombre
2021/05/13 11:15:56 a. m. GMT-5,6,Sí,4 a 6,100,35,1 hora y 30 min,Mujer
2021/05/15 5:55:23 p. m. GMT-5,3,Sí,3 a 4,100,10,1 hora y 30 min,Mujer
2021/05/16 2:07:33 p. m. GMT-5,4,Sí,4 a 6,88,49.9,2 horas o más,Hombre
2021/05/15 8:00:33 p. m. GMT-5,10,Sí,más de 6,86,18.6,2 horas o más,Hombre
2021/05/14 10:26:43 p. m. GMT-5,10,Sí,más de 6,84,16.3,2 horas o más,Hombre
2021/05/15 12:46:16 a. m. GMT-5,8,Sí,más de 6,84,16.4,2 horas o más,Mujer
2021/05/12 8:20:04 p. m. GMT-5,3,Sí,3 a 4,80,14,1 hora y 30 min,Hombre
2021/05/14 10:25:19 p. m. GMT-5,1,Sí,más de 6,75,16.1,2 horas o más,Mujer
2021/05/15 3:03:48 p. m. GMT-5,8,Sí,4 a 6,72,15.8,1 hora y 30 min,Mujer
2021/05/13 11:22:12 a. m. GMT-5,8,Sí,3 a 4,70,30,1 hora y 30 min,Hombre
2021/05/16 1:37:30 p. m. GMT-5,4,Sí,4 a 6,70,50,2 horas o más,Mujer
2021/05/16 2:04:02 p. m. GMT-5,6,Sí,3 a 4,68,33.9,1 hora,Hombre
2021/05/16 2:15:56 p. m. GMT-5,2,Sí,3 a 4,68,29,1 hora y 30 min,Hombre
2021/05/16 2:23:37 p. m. GMT-5,9,Sí,3 a 4,68,26,1 hora y 30 min,Hombre
2021/05/15 3:49:01 p. m. GMT-5,11,Sí,4 a 6,67,15.8,1 hora y 30 min,Hombre
2021/05/14 10:25:58 p. m. GMT-5,8,Sí,más de 6,66,15.8,2 horas o más,Mujer
2021/05/14 10:56:16 p. m. GMT-5,7,Sí,4 a 6,65,15.4,1 hora y 30 min,Mujer
2021/05/14 10:22:54 p. m. GMT-5,10,Sí,más de 6,63,16,2 horas o más,Mujer
2021/05/12 7:41:08 p. m. GMT-5,9,Sí,3 a 4,60,18,2 horas o más,Hombre
2021/05/12 7:46:45 p. m. GMT-5,9,Sí,4 a 6,60,18,1 hora,Hombre
2021/05/12 7:51:45 p. m. GMT-5,3,Sí,3 a 4,60,18,1 hora y 30 min,Hombre
2021/05/13 11:12:52 a. m. GMT-5,12,Sí,3 a 4,60,35,1 hora y 30 min,Hombre
2021/05/13 11:18:43 a. m. GMT-5,6,Sí,3 a 4,60,50,2 horas o más,Hombre
2021/05/13 11:29:19 a. m. GMT-5,8,Sí,3 a 4,60,25.5,1 hora,Hombre
2021/05/14 10:12:26 p. m. GMT-5,8,Sí,más de 6,60,16,2 horas o más,Hombre
2021/05/15 4:08:01 p. m. GMT-5,13,Sí,4 a 6,60,17.8,2 horas o más,Hombre
2021/05/16 2:17:20 p. m. GMT-5,2,Sí,4 a 6,60,17.9,1 hora y 30 min,Mujer
2021/05/16 2:19:25 p. m. GMT-5,8,Sí,3 a 4,60,25,1 hora y 30 min,Hombre
2021/05/15 1:00:43 a. m. GMT-5,9,Sí,4 a 6,57,14.4,1 hora y 30 min,Mujer
2021/05/14 10:07:33 p. m. GMT-5,8,Sí,4 a 6,56,15,1 hora y 30 min,Mujer
2021/05/16 2:12:10 p. m. GMT-5,6,Sí,3 a 4,56,27.6,1 hora y 30 min,Hombre
2021/05/16 2:22:01 p. m. GMT-5,4,Sí,3 a 4,55,22.9,1 hora,Hombre
2021/05/14 10:17:47 p. m. GMT-5,1,Sí,4 a 6,54,13.4,1 hora y 30 min,Hombre
2021/05/14 10:19:17 p. m. GMT-5,1,Sí,4 a 6,54,15.6,2 horas o más,Mujer
2021/05/12 8:17:24 p. m. GMT-5,3,Sí,2,50,10.5,30 min,Hombre
2021/05/12 8:34:04 p. m. GMT-5,6,Sí,3 a 4,50,16,1 hora,Hombre
2021/05/12 8:51:22 p. m. GMT-5,6,Sí,2,50,17,1 hora y 30 min,Hombre
2021/05/13 11:19:36 a. m. GMT-5,8,Sí,3 a 4,50,26.9,1 hora,Hombre
2021/05/13 12:58:49 p. m. GMT-5,6,Sí,3 a 4,50,30,1 hora y 30 min,Hombre
2021/05/15 8:05:32 p. m. GMT-5,7,Sí,3 a 4,50,15.4,1 hora y 30 min,Mujer
2021/05/16 2:09:53 p. m. GMT-5,4,Sí,3 a 4,50,24.5,1 hora,Hombre
2021/05/16 2:18:38 p. m. GMT-5,4,Sí,3 a 4,50,19,1 hora,Mujer
2021/05/16 2:27:29 p. m. GMT-5,8,Sí,3 a 4,50,35.5,1 hora,Hombre
2021/05/12 7:44:54 p. m. GMT-5,9,Sí,3 a 4,48,18,2 horas o más,Hombre
2021/05/14 10:53:18 p. m. GMT-5,7,Sí,4 a 6,48,15.4,1 hora y 30 min,Mujer
2021/05/15 8:12:45 p. m. GMT-5,13,Sí,3 a 4,48,15.7,1 hora y 30 min,Hombre
2021/05/15 8:20:06 p. m. GMT-5,8,Sí,3 a 4,48,15.4,1 hora y 30 min,Hombre
2021/05/14 10:08:09 p. m. GMT-5,4,Sí,4 a 6,47,15.2,1 hora y 30 min,Mujer
2021/05/12 8:20:03 p. m. GMT-5,6,Sí,3 a 4,45,17,1 hora y 30 min,Hombre
2021/05/14 9:54:40 p. m. GMT-5,7,Sí,3 a 4,45,15.5,1 hora y 30 min,Hombre
2021/05/15 12:40:08 a. m. GMT-5,11,Sí,4 a 6,45,15.7,2 horas o más,Hombre
2021/05/15 12:45:22 a. m. GMT-5,10,Sí,3 a 4,45,15.1,1 hora y 30 min,Hombre
2021/05/15 8:20:25 p. m. GMT-5,7,Sí,3 a 4,45,15.4,1 hora y 30 min,Hombre
2021/05/12 7:40:35 p. m. GMT-5,6,Sí,2,44,16.3,1 hora,Hombre
2021/05/12 8:19:39 p. m. GMT-5,6,Sí,2,44,17.4,1 hora y 30 min,Hombre
2021/05/13 11:45:05 a. m. GMT-5,11,Sí,4 a 6,44,15,1 hora y 30 min,Hombre
2021/05/14 10:16:09 p. m. GMT-5,9,Sí,4 a 6,44,13.5,1 hora y 30 min,Mujer
2021/05/15 4:05:11 p. m. GMT-5,2,Sí,3 a 4,44,15.56,1 hora y 30 min,Mujer
2021/05/14 10:15:36 p. m. GMT-5,6,Sí,4 a 6,43,14.8,1 hora y 30 min,Mujer
2021/05/14 10:55:23 p. m. GMT-5,8,Sí,3 a 4,43,14.7,1 hora y 30 min,Mujer
2021/05/14 10:08:40 p. m. GMT-5,8,Sí,3 a 4,42,15.4,1 hora y 30 min,Mujer
2021/05/15 3:57:43 p. m. GMT-5,4,Sí,3 a 4,42,17,2 horas o más,Mujer
2021/05/14 10:11:38 p. m. GMT-5,9,Sí,3 a 4,41,15.2,1 hora y 30 min,Hombre
2021/05/14 10:54:03 p. m. GMT-5,2,Sí,3 a 4,41,15.2,1 hora y 30 min,Mujer
2021/05/12 7:43:20 p. m. GMT-5,9,Sí,4 a 6,40,15,1 hora y 30 min,Hombre
2021/05/12 8:14:28 p. m. GMT-5,6,Sí,3 a 4,40,17.7,1 hora y 30 min,Hombre
2021/05/13 11:33:28 a. m. GMT-5,7,Sí,3 a 4,40,15,1 hora y 30 min,Hombre
2021/05/14 12:52:03 p. m. GMT-5,3,Sí,4 a 6,40,15.2,1 hora y 30 min,Hombre
2021/05/15 1:49:32 p. m. GMT-5,7,Sí,4 a 6,40,15,1 hora y 30 min,Hombre
2021/05/15 3:49:22 p. m. GMT-5,6,Sí,3 a 4,40,15.4,1 hora y 30 min,Mujer
2021/05/15 2:36:25 p. m. GMT-5,5,Sí,3 a 4,39,14.8,1 hora y 30 min,Hombre
2021/05/12 7:32:11 p. m. GMT-5,6,Sí,3 a 4,38,15.9,1 hora,Hombre
2021/05/12 7:57:26 p. m. GMT-5,9,Sí,2,38,16.5,1 hora,Hombre
2021/05/13 11:28:25 a. m. GMT-5,8,Sí,3 a 4,38,20,1 hora y 30 min,Mujer
2021/05/14 10:09:18 p. m. GMT-5,3,Sí,3 a 4,38,15,1 hora y 30 min,Hombre
2021/05/15 12:37:09 a. m. GMT-5,3,Sí,3 a 4,38,15.3,1 hora y 30 min,Hombre
2021/05/15 1:03:00 a. m. GMT-5,11,Sí,3 a 4,38,15,1 hora y 30 min,Hombre
2021/05/15 2:38:22 p. m. GMT-5,3,Sí,3 a 4,38,15.4,1 hora,Mujer
2021/05/15 2:39:06 p. m. GMT-5,7,Sí,3 a 4,38,15.4,1 hora y 30 min,Mujer
2021/05/15 3:09:09 p. m. GMT-5,4,Sí,3 a 4,38,15,1 hora y 30 min,Hombre
2021/05/15 4:09:48 p. m. GMT-5,1,Sí,3 a 4,38,15.3,1 hora y 30 min,Mujer
2021/05/12 7:39:37 p. m. GMT-5,6,Sí,3 a 4,36,18.6,2 horas o más,Hombre
2021/05/14 12:51:12 p. m. GMT-5,10,Sí,3 a 4,36,15.6,2 horas o más,Hombre
2021/05/15 12:43:47 a. m. GMT-5,9,Sí,3 a 4,36,13.5,1 hora,Hombre
2021/05/15 12:58:12 a. m. GMT-5,2,Sí,3 a 4,36,15,1 hora y 30 min,Mujer
2021/05/15 3:02:26 p. m. GMT-5,4,Sí,3 a 4,36,15.4,1 hora y 30 min,Mujer
2021/05/15 3:52:24 p. m. GMT-5,2,Sí,3 a 4,36,15.4,1 hora y 30 min,Mujer
2021/05/15 1:05:58 a. m. GMT-5,6,Sí,3 a 4,35,15,1 hora y 30 min,Mujer
2021/05/15 3:50:05 p. m. GMT-5,6,Sí,3 a 4,35,15.3,1 hora y 30 min,Hombre
2021/05/14 10:11:03 p. m. GMT-5,4,Sí,3 a 4,34,15.7,2 horas o más,Mujer
2021/05/12 7:27:33 p. m. GMT-5,6,Sí,3 a 4,32,16.8,1 hora y 30 min,Hombre
2021/05/15 8:09:33 p. m. GMT-5,7,Sí,3 a 4,32,14.6,1 hora,Hombre
2021/05/14 10:18:25 p. m. GMT-5,5,Sí,3 a 4,31,11.4,1 hora,Hombre
2021/05/13 7:58:40 a. m. GMT-5,6,Sí,2,30,15,30 min,Hombre
2021/05/15 1:46:51 p. m. GMT-5,5,Sí,2,30,10.5,30 min,Hombre
2021/05/16 2:14:53 p. m. GMT-5,4,Sí,2,30,5.9,30 min,Hombre
2021/05/15 12:59:13 a. m. GMT-5,3,Sí,2,29,13.6,1 hora,Hombre
2021/05/12 7:42:36 p. m. GMT-5,6,Sí,3 a 4,28,5-10,1 hora,Hombre
2021/05/15 12:35:33 a. m. GMT-5,4,Sí,3 a 4,28,12.5,1 hora,Mujer
2021/05/15 12:40:56 a. m. GMT-5,9,Sí,2,28,13.6,1 hora,Hombre
2021/05/15 8:17:56 p. m. GMT-5,2,Sí,2,28,14.87,1 hora,Mujer
2021/05/15 1:04:18 a. m. GMT-5,5,Sí,2,27,10.3,1 hora,Mujer
2021/05/14 10:20:30 p. m. GMT-5,5,Sí,2,26,9.6,1 hora,Mujer
2021/05/15 12:36:32 a. m. GMT-5,4,Sí,2,26,8.5,1 hora,Hombre
2021/05/15 8:06:09 p. m. GMT-5,4,Sí,3 a 4,26,10.5,1 hora,Mujer
2021/05/16 2:18:03 p. m. GMT-5,4,Sí,2,26,5.5,30 min,Hombre
2021/05/15 2:37:13 p. m. GMT-5,8,Sí,2,25,10.8,1 hora,Hombre
2021/05/16 2:09:01 p. m. GMT-5,2,Sí,2,25,5,30 min,Hombre
2021/05/16 2:13:28 p. m. GMT-5,12,Sí,2,25,3.8,30 min,Mujer
2021/05/16 2:26:03 p. m. GMT-5,6,Sí,2,25,2.9,30 min,Hombre
2021/05/12 7:42:12 p. m. GMT-5,6,Sí,2,24,15,1 hora,Hombre
2021/05/13 7:57:51 a. m. GMT-5,6,Sí,2,24,10,30 min,Mujer
2021/05/15 3:53:03 p. m. GMT-5,5,Sí,3 a 4,24,2.5,30 min,Mujer
2021/05/15 8:03:40 p. m. GMT-5,10,Sí,2,22,3.7,30 min,Hombre
2021/05/12 7:42:14 p. m. GMT-5,6,Sí,2,21,10,30 min,Mujer
2021/05/15 2:53:31 p. m. GMT-5,11,Sí,2,20,1.9,30 min,Hombre
2021/05/15 3:51:42 p. m. GMT-5,5,Sí,2,20,1.8,30 min,Mujer
2021/05/16 2:08:24 p. m. GMT-5,6,Sí,2,20,2,30 min,Mujer
2021/05/16 2:10:36 p. m. GMT-5,9,Sí,2,20,3.5,30 min,Mujer
2021/05/16 2:16:27 p. m. GMT-5,8,Sí,2,20,2.7,30 min,Mujer
2021/05/16 2:21:22 p. m. GMT-5,6,Sí,2,20,5,30 min,Hombre
2021/05/16 2:22:35 p. m. GMT-5,4,Sí,2,20,2.6,30 min,Hombre
2021/05/16 2:24:29 p. m. GMT-5,6,Sí,2,20,2.8,30 min,Mujer
2021/05/15 4:06:15 p. m. GMT-5,12,Sí,2,19,1.86,30 min,Hombre
2021/05/13 11:14:58 a. m. GMT-5,8,Sí,2,18,6.7,30 min,Hombre
2021/05/15 3:03:00 p. m. GMT-5,7,Sí,2,18,2.2,30 min,Hombre
2021/05/15 4:11:54 p. m. GMT-5,3,Sí,2,18,1.94,30 min,Hombre
2021/05/15 8:04:04 p. m. GMT-5,12,Sí,2,18,2.4,30 min,Mujer
2021/05/15 2:53:54 p. m. GMT-5,9,Sí,2,17,1.7,30 min,Mujer
2021/05/15 2:41:15 p. m. GMT-5,12,Sí,2,16,2.4,30 min,Hombre
2021/05/15 2:42:20 p. m. GMT-5,10,Sí,2,16,3.6,30 min,Mujer
2021/05/15 2:52:05 p. m. GMT-5,6,Sí,2,16,1.8,30 min,Hombre
2021/05/15 2:56:43 p. m. GMT-5,2,Sí,2,16,1.6,30 min,Hombre
2021/05/15 3:54:49 p. m. GMT-5,9,Sí,2,16,1.67,30 min,Mujer
2021/05/15 8:16:04 p. m. GMT-5,10,Sí,2,16,2.1,30 min,Hombre
2021/05/12 7:42:34 p. m. GMT-5,6,Sí,2,14,7,30 min,Mujer
2021/05/12 7:43:34 p. m. GMT-5,6,Sí,2,14,3.4,30 min,Hombre
2021/05/12 8:24:57 p. m. GMT-5,6,Sí,2,14,3.8,30 min,Mujer
2021/05/16 2:26:49 p. m. GMT-5,8,Sí,2,14,0.5,30 min,Hombre
2021/05/13 1:31:04 a. m. GMT-5,6,Sí,2,10,4.6,30 min,Hombre
2021/05/13 11:43:33 a. m. GMT-5,9,Sí,2,10,3,30 min,Hombre
2021/05/15 2:50:09 p. m. GMT-5,10,No,0,0,1.1,30 min,Mujer
2021/05/15 2:50:43 p. m. GMT-5,4,No,0,0,0.8,30 min,Hombre
2021/05/15 2:51:40 p. m. GMT-5,3,No,0,0,1,30 min,Hombre
2021/05/15 2:52:46 p. m. GMT-5,8,No,0,0,0.96,30 min,Mujer
2021/05/15 2:55:20 p. m. GMT-5,12,No,0,0,1,30 min,Hombre
2021/05/15 3:08:37 p. m. GMT-5,5,No,0,0,0.7,30 min,Hombre
2021/05/15 3:46:45 p. m. GMT-5,7,No,0,0,1,30 min,Hombre
2021/05/15 3:47:01 p. m. GMT-5,8,No,0,0,0.6,30 min,Mujer
2021/05/15 3:47:37 p. m. GMT-5,4,No,0,0,0.87,30 min,Hombre
2021/05/15 3:47:54 p. m. GMT-5,6,No,0,0,1.2,30 min,Mujer
2021/05/15 3:48:14 p. m. GMT-5,8,No,0,0,1.31,30 min,Hombre
2021/05/15 3:50:42 p. m. GMT-5,12,No,0,0,0.85,30 min,Mujer
2021/05/15 3:51:01 p. m. GMT-5,4,No,0,0,0.78,30 min,Hombre
2021/05/15 3:51:22 p. m. GMT-5,6,No,0,0,1.3,30 min,Mujer
2021/05/15 3:53:19 p. m. GMT-5,10,No,0,0,1.2,30 min,Hombre
2021/05/15 3:53:42 p. m. GMT-5,6,No,0,0,1,30 min,Mujer
2021/05/15 3:55:38 p. m. GMT-5,13,No,0,0,0.85,30 min,Hombre
2021/05/15 3:58:11 p. m. GMT-5,4,No,0,0,0.6,30 min,Mujer
2021/05/15 3:59:19 p. m. GMT-5,7,No,0,0,1.4,30 min,Hombre
2021/05/15 3:59:36 p. m. GMT-5,9,No,0,0,0.88,30 min,Hombre
2021/05/15 4:08:32 p. m. GMT-5,4,No,0,0,0.77,30 min,Hombre
2021/05/15 4:10:31 p. m. GMT-5,10,No,0,0,1.23,30 min,Mujer
2021/05/15 4:11:13 p. m. GMT-5,12,No,0,0,0.88,30 min,Hombre
2021/05/15 8:02:00 p. m. GMT-5,6,No,0,0,1.23,30 min,Hombre
2021/05/15 8:02:46 p. m. GMT-5,5,No,0,0,0.94,30 min,Mujer
2021/05/15 8:03:08 p. m. GMT-5,3,No,0,0,0.74,30 min,Hombre
2021/05/15 8:06:49 p. m. GMT-5,8,No,0,0,1.4,30 min,Mujer
2021/05/15 8:07:19 p. m. GMT-5,13,No,0,0,0.78,30 min,Hombre
2021/05/15 8:15:43 p. m. GMT-5,13,No,0,0,1.32,30 min,Hombre
2021/05/15 8:16:38 p. m. GMT-5,4,No,0,0,0.68,30 min,Mujer
2021/05/15 8:18:15 p. m. GMT-5,5,No,0,0,1.3,30 min,Hombre
2021/05/16 1:39:18 p. m. GMT-5,2,No,0,0,1.3,30 min,Hombre
2021/05/16 2:02:35 p. m. GMT-5,9,No,0,0,2,30 min,Mujer
2021/05/16 2:07:49 p. m. GMT-5,9,No,0,0,4.7,1 hora,Hombre
2021/05/16 2:09:10 p. m. GMT-5,4,No,0,0,2,30 min,Mujer
2021/05/16 2:10:14 p. m. GMT-5,4,No,0,0,2,30 min,Mujer
2021/05/16 2:11:14 p. m. GMT-5,8,No,0,0,1.7,30 min,Hombre
2021/05/16 2:11:32 p. m. GMT-5,2,No,0,0,1.4,30 min,Hombre
2021/05/16 2:12:29 p. m. GMT-5,8,No,0,0,2.2,30 min,Mujer
2021/05/16 2:13:58 p. m. GMT-5,2,No,0,0,2,30 min,Hombre
2021/05/16 2:15:25 p. m. GMT-5,8,No,0,0,2.1,30 min,Hombre
2021/05/16 2:15:33 p. m. GMT-5,2,No,0,0,1.9,30 min,Hombre
2021/05/16 2:16:05 p. m. GMT-5,2,No,0,0,0.9,30 min,Mujer
2021/05/16 2:16:44 p. m. GMT-5,6,No,0,0,1,30 min,Hombre
2021/05/16 2:17:32 p. m. GMT-5,6,No,0,0,1.4,30 min,Hombre
2021/05/16 2:17:41 p. m. GMT-5,8,No,0,0,2.7,30 min,Mujer
2021/05/16 2:18:54 p. m. GMT-5,2,No,0,0,2,30 min,Hombre
2021/05/16 2:20:04 p. m. GMT-5,8,No,0,0,1.8,30 min,Mujer
2021/05/16 2:21:31 p. m. GMT-5,8,No,0,0,1.3,30 min,Mujer
2021/05/16 2:22:12 p. m. GMT-5,6,No,0,0,2,30 min,Hombre
2021/05/16 2:22:47 p. m. GMT-5,8,No,0,0,1.4,30 min,Hombre
2021/05/16 2:23:47 p. m. GMT-5,4,No,0,0,3,1 hora,Mujer
2021/05/16 2:23:58 p. m. GMT-5,6,No,0,0,2.4,30 min,Hombre
2021/05/16 2:24:53 p. m. GMT-5,2,No,0,0,3.6,1 hora y 30 min,Mujer
2021/05/16 2:25:03 p. m. GMT-5,4,No,0,0,2,30 min,Mujer
2021/05/16 2:26:17 p. m. GMT-5,9,No,0,0,3.2,1 hora,Hombre
2021/05/16 2:27:01 p. m. GMT-5,6,No,0,0,1.7,30 min,Mujer